link,lat,lon
https://www.pisos.com/comprar/piso-tetuan_cuatro_caminos28020-51747622891_500564/,40.4511404,-3.7028224
https://www.pisos.com/comprar/chalet-lozoyuela-45853099899_100500/,40.901,-3.60455
https://www.pisos.com/comprar/piso-vinateros-53369369984_100200/,40.4058789,-3.6496156
https://www.pisos.com/comprar/piso-zona_noreste-51712032372_100500/,40.4657,-3.46563
https://www.pisos.com/comprar/chalet-grinon_centro_urbano-52525015678_517902/,40.2123072,-3.8581759
https://www.pisos.com/comprar/piso-costillares-52510696618_109300/,40.4775993,-3.6694062
https://www.pisos.com/comprar/piso-colonia_avenida_de_meco28805-52506755120_109700/,40.50074733692466,-3.3440816402435303
https://www.pisos.com/comprar/piso-rios_rosas28003-51759016542_104700/,40.4458871,-3.7006016
https://www.pisos.com/comprar/piso-nuevo_tres_cantos-5009242572_109700/,40.6238755,-3.7114172
https://www.pisos.com/comprar/piso-carabanchel_buenavista28044-53354273203_100500/,40.3683148,-3.7568841
https://www.pisos.com/comprar/piso-guindalera28028-52544082985_440000/,40.434233,-3.6672526
https://www.pisos.com/comprar/piso-parque_de_la_coruna_las_suertes-27558043374_100200/,40.6207295,-4.0050875
https://www.pisos.com/comprar/piso-chamberi_almagro28010-52506879128_100500/,40.433788,-3.6966911
https://www.pisos.com/comprar/piso-san_blas_canillejas28022-53411978849_100500/,40.4411587,-3.6079705
https://www.pisos.com/comprar/piso-goya28001-45908050807_524671/,40.427546,-3.6780052
https://www.pisos.com/comprar/apartamento-centro_embajadores_lavapies28012-51716399623_994867/,40.4095177,-3.6983871
https://www.pisos.com/comprar/piso-getafe_juan_de_la_cierva28903-50064470103_108700/,40.3133339,-3.7193685
https://www.pisos.com/comprar/chalet_unifamiliar-batres_centro_urbano28976-45007900119_526710/,40.2090303,-3.9183546
https://www.pisos.com/comprar/piso-villaverde_san_andres28021-5168100390_109700/,40.3481711,-3.7020593
https://www.pisos.com/comprar/piso-alcobendas_valdelacasa-5266506662_109700/,40.5397065,-3.6219096
https://www.pisos.com/comprar/piso-puerta_del_angel-53336746172_100500/,40.406937577,-3.736888779
https://www.pisos.com/comprar/piso-colonia_avenida_de_meco28805-40089362561_101800/,40.5009,-3.3441
https://www.pisos.com/comprar/atico-chamberi_almagro28010-46722830215_101800/,40.4344683,-3.6933372
https://www.pisos.com/comprar/chalet-el_olivar_de_mirabal28669-38340479437_102100/,40.4218215,-3.9017009
https://www.pisos.com/comprar/piso-chamberi_almagro28010-52515278883_101800/,40.4353531,-3.6934208
https://www.pisos.com/comprar/piso-retiro_pacifico28007-52569015242_511891/,40.40321,-3.676023
https://www.pisos.com/comprar/casa_unifamiliar-sevilla_la_nueva_centro_urbano-53336471051_101000/,40.348957282,-4.063529188
https://www.pisos.com/comprar/piso-valdemoro_estacion-51749590297_105700/,40.1934734,-3.666273
https://www.pisos.com/comprar/piso-chamberi_arapiles28015-50886460292_100200/,40.4312059,-3.7101186
