index,titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,url,lat,lon
298,Piso en calle de Canarias,Palos de Moguer (Distrito Arganzuela. Madrid Capital),1100.0,1.0,1.0,56.0,,,https://www.pisos.com/alquilar/piso-palos_de_moguer28045-53358313132_100500/,https://www.pisos.com/alquilar/piso-palos_de_moguer28045-53358313132_100500/,,
299,"Dúplex en calle de Garci-Nuño, 8",Valdeacederas (Distrito Tetuán. Madrid Capital),1100.0,1.0,2.0,55.0,55.0,50.0,https://www.pisos.com/alquilar/duplex-valdeacederas28029-53415615215_100500/,https://www.pisos.com/alquilar/duplex-valdeacederas28029-53415615215_100500/,40.4665,-3.70108
301,Piso en calle de Galiana,Puerta del Ángel (Distrito Latina. Madrid Capital),1300.0,2.0,1.0,79.0,79.0,74.0,https://www.pisos.com/alquilar/piso-puerta_del_angel-31764768683_100500/,https://www.pisos.com/alquilar/piso-puerta_del_angel-31764768683_100500/,40.4091717,-3.7329044
302,"Piso en calle de Juan de Vera, 27",Delicias (Distrito Arganzuela. Madrid Capital),1900.0,3.0,2.0,108.0,108.0,,https://www.pisos.com/alquilar/piso-arganzuela_delicias-53379944927_101800/,https://www.pisos.com/alquilar/piso-arganzuela_delicias-53379944927_101800/,40.3963,-3.69169
304,Chalet unifamiliar en calle de la Madre de Dios,Nueva España (Distrito Chamartín. Madrid Capital),7500.0,6.0,6.0,552.0,552.0,480.0,https://www.pisos.com/alquilar/chalet_unifamiliar-nueva_espana28016-48347639138_992392/,https://www.pisos.com/alquilar/chalet_unifamiliar-nueva_espana28016-48347639138_992392/,40.4636768,-3.6738975
305,Apartamento en calle de Hernández Iglesias,Concepción (Distrito Ciudad Lineal. Madrid Capital),1200.0,1.0,1.0,54.0,54.0,28.0,https://www.pisos.com/alquilar/apartamento-concepcion-52552907761_101000/,https://www.pisos.com/alquilar/apartamento-concepcion-52552907761_101000/,40.4430611,-3.6438494
306,Piso en calle de la Anunciación,Niño Jesús (Distrito Retiro. Madrid Capital),2200.0,3.0,2.0,138.0,138.0,120.0,https://www.pisos.com/alquilar/piso-nino_jesus28009-50863607891_991623/,https://www.pisos.com/alquilar/piso-nino_jesus28009-50863607891_991623/,40.411997,-3.6754353
308,Piso en calle de Borjas Blancas,Pinar del Rey (Distrito Hortaleza. Madrid Capital),1200.0,2.0,1.0,60.0,60.0,,https://www.pisos.com/alquilar/piso-pinar_del_rey28033-51709887020_108900/,https://www.pisos.com/alquilar/piso-pinar_del_rey28033-51709887020_108900/,40.4706227,-3.651299
309,Piso en calle de Hydra,Sur-Este (Móstoles),1100.0,2.0,69.0,1.0,69.0,54.0,https://www.pisos.com/alquilar/piso-sur_este28938-52584581907_108900/,https://www.pisos.com/alquilar/piso-sur_este28938-52584581907_108900/,40.3114077,-3.8577631
310,Chalet en calle de Libertad,Algete,1900.0,3.0,3.0,267.0,267.0,,https://www.pisos.com/alquilar/chalet-algete_centro_urbano-53337286257_101800/,https://www.pisos.com/alquilar/chalet-algete_centro_urbano-53337286257_101800/,40.6071481,-3.540346
