timestamp,titulo,precio,ubicacion,habitaciones,baños,metros,link
2025-04-09T17:35:52.065400,"Apartamento en En Zona Céntrica, A 5 Min Metro Juan de La Cierva.",195.000 €,Juan de la Cierva (Getafe),3 habs.,1 baño,65 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.133747,Casa pareada en calle de Blasco Ibáñez,475.000 €,Quijorna,5 habs.,5 baños,332 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.201709,Piso en Ciudad 70,171.000 €,Ciudad 70 (Coslada),2 habs.,1 baño,50 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.270424,Piso en Legazpi,630.000 €,Legazpi (Distrito Arganzuela. Madrid Capital),2 habs.,2 baños,154 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.340465,"Casa adosada en calle de María Moliner, 44",549.000 €,Oeste (Móstoles),3 habs.,3 baños,227 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.404988,Piso en Centro-Egido,170.000 €,Centro-Egido (Pinto),1 hab.,1 baño,69 m²,https://www.pisos.com/comprar/piso-centro_egido-35842430620_100200/
2025-04-09T17:35:52.457958,Finca rústica en Polígono Alcantar,75.000 €,Fuente el Saz de Jarama,4.429 m²,,,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.524705,Piso en Imperial,520.000 €,Imperial (Distrito Arganzuela. Madrid Capital),4 habs.,2 baños,110 m²,https://www.pisos.com/comprar/piso-imperial28005-51728742584_100200/
2025-04-09T17:35:52.594663,Piso en Castilla,830.000 €,Castilla (Distrito Chamartín. Madrid Capital),4 habs.,2 baños,150 m²,https://www.pisos.com/comprar/piso-castilla28036-52502404550_100200/
2025-04-09T17:35:52.665622,Piso en Centro,194.710 €,Torres de la Alameda,2 habs.,2 baños,79 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.731815,Casa en Ibiza,1.600.000 €,Ibiza (Distrito Retiro. Madrid Capital),5 habs.,3 baños,492 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.803775,Piso en Chamberi,3.400.000 €,Almagro (Distrito Chamberí. Madrid Capital),5 habs.,5 baños,369 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.878447,Casa pareada en El Praderón,460.000 €,El Encinar-Vista Nevada-La Quinta del Praderón (Galapagar),4 habs.,3 baños,201 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:52.951407,Piso en calle de Las Navas de Tolosa,799.000 €,Sol (Distrito Centro. Madrid Capital),2 habs.,2 baños,112 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:53.023167,Piso en Cortes-Huertas,548.000 €,Cortes-Huertas (Distrito Centro. Madrid Capital),2 habs.,2 baños,119 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:53.095115,Chalet unifamiliar en calle C. de Goitia,1.600.000 €,Concepción (Distrito Ciudad Lineal. Madrid Capital),5 habs.,6 baños,389 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:35:53.172265,Chalet adosado en calle del Río Jarama,564.900 €,Castañeras (Arroyomolinos),3 habs.,3 baños,256 m²,https://www.pisos.com/venta/pisos-madrid/93/#
2025-04-09T17:36:00.363089,Piso en calle del Acuerdo,1.650.000 €,Universidad-Malasaña (Distrito Centro. Madrid Capital),4 habs.,3 baños,246 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:00.433049,Piso en Palacio,1.600.000 €,Palacio (Distrito Centro. Madrid Capital),5 habs.,5 baños,246 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:00.503951,Piso en calle de Coín,470.000 €,Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital),4 habs.,2 baños,165 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:00.573073,Piso en Avenida de Gibraltar,216.000 €,Centro (Getafe),3 habs.,1 baño,90 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:00.641279,Dúplex en calle del Coto Blanco,1.499.000 €,Zona Monte del Pilar (Majadahonda),6 habs.,5 baños,450 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:00.706243,"Casa pareada en calle Sc Sector 3B Des, nº 9 P",440.000 €,Torrejón de la Calzada,4 habs.,3 baños,205 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:00.774973,Piso en Otras Zonas,897.500 €,Costillares (Distrito Ciudad Lineal. Madrid Capital),3 habs.,2 baños,132 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:00.845534,Chalet en calle de Pérez Cidón,2.600.000 €,Concepción (Distrito Ciudad Lineal. Madrid Capital),3 habs.,4 baños,474 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:00.914483,Piso en Peñagrande,695.000 €,Palacio (Distrito Centro. Madrid Capital),2 habs.,2 baños,97 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:00.980446,Piso en Jerónimos,4.100.000 €,Jerónimos (Distrito Retiro. Madrid Capital),4 habs.,3 baños,300 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.049071,Piso en Lista,1.250.000 €,Lista (Distrito Barrio de Salamanca. Madrid Capital),4 habs.,2 baños,138 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.120158,Piso en Avenida de Leganés,439.990 €,Casco Antiguo (Alcorcón),3 habs.,2 baños,121 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.190549,Piso en Avenida de las Águilas,239.900 €,Las Águilas (Distrito Latina. Madrid Capital),2 habs.,1 baño,59 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.259649,Casa pareada en Camino Ermita,260.000 €,Robledo de Chavela,3 habs.,3 baños,111 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.330613,Chalet en Oeste,475.000 €,Oeste (Móstoles),3 habs.,3 baños,139 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.408571,Piso en San Andrés,314.999 €,San Andrés (Distrito Villaverde. Madrid Capital),4 habs.,2 baños,139 m²,https://www.pisos.com/comprar/piso-villaverde_san_andres28021-53415752223_100200/
2025-04-09T17:36:01.478807,Piso en Travesía del Cigarral,180.000 €,Algete,2 habs.,1 baño,81 m²,https://www.pisos.com/comprar/piso-algete_centro_urbano-52553172713_100200/
2025-04-09T17:36:01.549346,Casa en Plaza del Cardenal Cisneros,445.000 €,Torrelaguna,8 habs.,7 baños,300 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.620877,"Ático en calle de la Higuera, s/n",796.102 €,El Cantizal (Las Rozas de Madrid),3 habs.,2 baños,126 m²,https://www.pisos.com/venta/pisos-madrid/94/#
2025-04-09T17:36:01.688047,Piso en Buenos Aires-Cañada Real de Toledo-Puerta de Pinto,179.000 €,Buenos Aires-Cañada Real de Toledo-Puerta de Pinto (Pinto),2 habs.,1 baño,60 m²,https://www.pisos.com/venta/pisos-madrid/94/#
