titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,es_outlier
Casa unifamiliar en Monte Alina-La Cabaña,Monte Alina-La Cabaña (Pozuelo de Alarcón),6000.0,5.0,5.0,550.0,550.0,500.0,https://www.pisos.com/alquilar/casa_unifamiliar-monte_alina_la_cabana-945856908699791_109700/,True
Piso en calle de Espalter,Jerónimos (Distrito Retiro. Madrid Capital),16000.0,4.0,4.0,410.0,410.0,400.0,https://www.pisos.com/alquilar/piso-jeronimos28014-9250606534_996542/,True
Chalet pareado en calle del Mistral,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),6300.0,6.0,6.0,150.0,150.0,149.0,https://www.pisos.com/alquilar/chalet_pareado-somosaguas_humera_los_angeles28224-50864192034_996542/,True
Chalet unifamiliar en Avenida de Fuentelarreina,Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital),6000.0,5.0,6.0,510.0,510.0,500.0,https://www.pisos.com/alquilar/chalet_unifamiliar-fuentelarreina28035-15094991482_996542/,True
Dúplex en calle de la Santísima Trinidad,Trafalgar (Distrito Chamberí. Madrid Capital),6445.0,3.0,4.0,170.0,170.0,,https://www.pisos.com/alquilar/duplex-trafalgar28010-42516410313_100500/,True
Piso en calle de Santa Engracia,Trafalgar (Distrito Chamberí. Madrid Capital),6000.0,3.0,3.0,182.0,182.0,175.0,https://www.pisos.com/alquilar/piso-trafalgar28010-52566267973_996542/,True
Piso en calle de Campomanes,Palacio (Distrito Centro. Madrid Capital),10000.0,3.0,4.0,205.0,205.0,192.0,https://www.pisos.com/alquilar/piso-centro_palacio28013-51717819667_100500/,True
Piso en calle de Juan Bravo,Castellana (Distrito Salamanca. Madrid Capital),6500.0,4.0,5.0,334.0,334.0,280.0,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-37558398811_100500/,True
Piso en calle de Ruiz de Alarcón,Jerónimos (Distrito Retiro. Madrid Capital),12000.0,5.0,5.0,459.0,459.0,445.0,https://www.pisos.com/alquilar/piso-jeronimos28014-27537100387_996542/,True
Chalet adosado en Próximo A Ics,La Moraleja (La Moraleja),6000.0,5.0,5.0,317.0,317.0,270.0,https://www.pisos.com/alquilar/chalet_adosado-la_moraleja_distrito-38398808043_179400/,True
Piso en calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),6700.0,3.0,3.0,201.0,201.0,200.0,https://www.pisos.com/alquilar/piso-recoletos28001-42502588572_996542/,True
Chalet adosado en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),6500.0,4.0,5.0,400.0,400.0,400.0,https://www.pisos.com/alquilar/chalet_adosado-el_soto_de_la_moraleja-88421310572_179400/,True
Ático en calle de Claudio Coello,Castellana (Distrito Salamanca. Madrid Capital),7000.0,2.0,3.0,180.0,180.0,165.0,https://www.pisos.com/alquilar/atico-barrio_de_salamanca_castellana28006-53354329506_996542/,True
Piso en Almagro,Almagro (Distrito Chamberí. Madrid Capital),8300.0,5.0,4.0,366.0,366.0,350.0,https://www.pisos.com/alquilar/piso-chamberi_almagro28010-945856909495658_109700/,True
Piso en calle de Claudio Coello,Castellana (Distrito Barrio de Salamanca. Madrid Capital),6000.0,4.0,4.0,214.0,214.0,,https://www.pisos.com/alquilar/piso-barrio_de_salamanca_castellana28006-52519149286_108900/,True
Piso en calle del Marqués de la Ensenada,Justicia-Chueca (Distrito Centro. Madrid Capital),6850.0,2.0,3.0,206.0,206.0,200.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-48333945824_100500/,True
Piso en calle Sevilla,Sol (Distrito Centro. Madrid Capital),12500.0,2.0,2.0,220.0,220.0,200.0,https://www.pisos.com/alquilar/piso-sol_barrio28013-26715176601_996542/,True
Piso en calle de Villanueva,Justicia-Chueca (Distrito Centro. Madrid Capital),7000.0,2.0,2.0,210.0,210.0,200.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-12520879287_996542/,True
Piso en calle San Marcos,Justicia-Chueca (Distrito Centro. Madrid Capital),12900.0,9.0,7.0,543.0,543.0,525.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-47519949963_996542/,True
Piso en calle de Gonzalo de Córdoba,Arapiles (Distrito Chamberí. Madrid Capital),5695.0,3.0,3.0,129.0,129.0,,https://www.pisos.com/alquilar/piso-chamberi_arapiles28015-42558676112_100500/,True
Ático en calle Avenida de Luis García Cereceda,Prado de Somosaguas (Pozuelo de Alarcón),6100.0,3.0,3.0,445.0,445.0,,https://www.pisos.com/alquilar/atico-prado_de_somosaguas-53405504124_101800/,True
Piso en Paseo del General Martínez Campos,Almagro (Distrito Chamberí. Madrid Capital),7200.0,4.0,4.0,320.0,320.0,,https://www.pisos.com/alquilar/piso-chamberi_almagro28010-53384430844_108900/,True
Piso en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),7500.0,3.0,2.0,191.0,191.0,,https://www.pisos.com/alquilar/piso-ibiza28009-51670165668_108500/,True
Piso en Madrid,Castellana (Distrito Salamanca. Madrid Capital),6900.0,4.0,3.0,200.0,200.0,,https://www.pisos.com/alquilar/piso-barrio_de_salamanca_castellana28006-52585001099_100500/,True
Ático en Paseo de la Castellana,Hispanoamérica (Distrito Chamartín. Madrid Capital),19000.0,5.0,4.0,376.0,376.0,370.0,https://www.pisos.com/alquilar/atico-chamartin_hispanoamerica28046-51667780219_100500/,True
Piso en calle de Francisco Silvela,Guindalera (Distrito Salamanca. Madrid Capital),6000.0,3.0,4.0,230.0,230.0,,https://www.pisos.com/alquilar/piso-guindalera28028-53426912686_108900/,True
Piso en calle de Núñez de Balboa,Castellana (Distrito Salamanca. Madrid Capital),7500.0,4.0,5.0,228.0,228.0,199.0,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-32556036229_996542/,True
Casa en calle del Caballo,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),13500.0,4.0,5.0,1.17,1.17,,https://www.pisos.com/alquilar/casa-somosaguas_humera_los_angeles28223-38424143795_101800/,True
Piso en Jerónimos,Jerónimos (Distrito Retiro. Madrid Capital),9500.0,4.0,5.0,322.0,322.0,,https://www.pisos.com/alquilar/piso-jeronimos28014-50882404685_100500/,True
Piso en Retiro,Goya (Distrito Barrio de Salamanca. Madrid Capital),7500.0,2.0,2.0,220.0,197.0,,https://www.pisos.com/alquilar/piso-goya28009-47532022933_108900/,True
