titulo,ubicacion,precio,habitaciones,baños,metros,superficie_construida,link,url,lat,lon,piso,casa,atico,estudio,apartamento,duplex,chalet,finca,loft,conservacion,precio_m2,distrito
Piso en calle de Chinchilla,Sol,2385.0,1.0,1.0,50.0,50.0,https://www.pisos.com/alquilar/piso-sol_barrio28013-42511141975_100500/,https://www.pisos.com/alquilar/piso-sol_barrio28013-42511141975_100500/,40.4193228,-3.7040642,True,False,False,False,False,False,False,False,False,En buen estado,45.0,Centro
Piso en calle de la Cebada,Palacio,3500.0,3.0,3.0,127.0,127.0,https://www.pisos.com/alquilar/piso-centro_palacio28005-44167764261_100500/,https://www.pisos.com/alquilar/piso-centro_palacio28005-44167764261_100500/,40.4106538,-3.7100875,True,False,False,False,False,False,False,False,False,En buen estado,27.0,Centro
Piso en calle de Tomás López,Fuente del Berro,3435.0,2.0,2.0,95.0,95.0,https://www.pisos.com/alquilar/piso-fuente_del_berro28028-42596334141_100500/,https://www.pisos.com/alquilar/piso-fuente_del_berro28028-42596334141_100500/,40.4268851,-3.6701382,True,False,False,False,False,False,False,False,False,En buen estado,36.0,Salamanca
Piso en calle de la Fuente del Berro,Goya,2530.0,1.0,1.0,70.0,70.0,https://www.pisos.com/alquilar/piso-goya28009-42516618466_100500/,https://www.pisos.com/alquilar/piso-goya28009-42516618466_100500/,40.4258775,-3.6709646,True,False,False,False,False,False,False,False,False,En buen estado,36.0,Salamanca
Piso en calle de Ibiza,Jerónimos,2760.0,2.0,2.0,85.0,85.0,https://www.pisos.com/alquilar/piso-jeronimos28009-43414712161_100500/,https://www.pisos.com/alquilar/piso-jeronimos28009-43414712161_100500/,40.4179686,-3.6733355,True,False,False,False,False,False,False,False,False,En buen estado,31.0,Retiro
Piso en calle de Recoletos,Recoletos,4500.0,2.0,3.0,120.0,120.0,https://www.pisos.com/alquilar/piso-recoletos28001-47554805024_996542/,https://www.pisos.com/alquilar/piso-recoletos28001-47554805024_996542/,40.4220911,-3.6903191,True,False,False,False,False,False,False,False,False,Reformado,37.0,Salamanca
Piso en calle de Arturo Soria,Costillares,2975.0,3.0,2.0,119.0,119.0,https://www.pisos.com/alquilar/piso-costillares-49255727545_996542/,https://www.pisos.com/alquilar/piso-costillares-49255727545_996542/,40.4826393,-3.6654652,True,False,False,False,False,False,False,False,False,Reformado,23.0,Ciudad Lineal
Ático en calle de Hortaleza,Justicia-Chueca,2505.0,2.0,2.0,100.0,100.0,https://www.pisos.com/alquilar/atico-justicia_chueca28004-42595356334_100500/,https://www.pisos.com/alquilar/atico-justicia_chueca28004-42595356334_100500/,40.4206697,-3.7007306,False,False,True,False,False,False,False,False,False,En buen estado,25.0,Centro
Piso en Paseo de la Reina Cristina,Jerónimos,3645.0,3.0,2.0,115.0,115.0,https://www.pisos.com/alquilar/piso-jeronimos28014-42547091985_100500/,https://www.pisos.com/alquilar/piso-jeronimos28014-42547091985_100500/,40.4069748,-3.6830963,True,False,False,False,False,False,False,False,False,En buen estado,31.0,Retiro
Piso en calle del Príncipe,Cortes-Huertas,4515.0,3.0,3.0,175.0,175.0,https://www.pisos.com/alquilar/piso-cortes_huertas28012-42595044624_100500/,https://www.pisos.com/alquilar/piso-cortes_huertas28012-42595044624_100500/,40.4158104,-3.7004723,True,False,False,False,False,False,False,False,False,En buen estado,25.0,Centro
