titulo,ubicacion,link,descripcion_ampliada,tipo_vivienda,precio,habitaciones,baños,superficie_construida,superficie_util,metros,lat,lon,piso,casa,atico,estudio,apartamento,duplex,chalet,finca,loft,conservacion,precio_m2,distrito
Piso en calle Toledo,Embajadores-Lavapiés,https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28005-52526761910_100500/,"Novahome presenta en exclusiva fantástica vivienda en venta en el corazón de Madrid.

La vivienda cuenta con 178 m² que se distribuyen en hall, 4 dormitorios, 3 baños 2 de ellos en suite con su respectivo dormitorio, cocina con tendero, salón y terraza.
Para actualizar.

Salón con más de 35m² con acceso a amplia terraza/balcón. Dos dormitorios con baño en suite, amplia cocina totalmente amueblada y equipada. Armarios empotrados en todas las estancias y en el hall. Gran capacidad para el almacenaje.

Ventanas de aluminio, calefacción gas natural, puertas en roble, suelos de madera.

Finca señorial con 2 ascensores.
Ubicación perfecta para los amantes del centro de la ciudad, Metro La Latina (Linea 5 y Puerta de Toledo a 5 minutos caminando. Fácil acceso a m-30",Piso,850000.0,4.0,3.0,178.0,155.36831477732792,178.0,40.4083644,-3.7109489,True,False,False,False,False,False,False,False,False,En buen estado,4775.0,Centro
Piso en calle Iv,Simancas,https://www.pisos.com/comprar/piso-san_blas_simancas28037-53376854525_100200/,"agencia inmobiliaria de MADRID zona SAN BLAS - CANILLEJAS Oficina Tecnocasa:
TECNOCASA Estudio Inmobiliario Torre Arias VENDE: Excelente propiedad en una de las urbanizaciones mas demandadas de la zona madrid norte, ubicada en la exclusiva calle Carlos IV, este amplio y luminoso piso reformado ofrece 148m² construidos este ofrece un espacio amplio y bien distribuido. cuenta con piscina, zonas comunes y porteria 24 horas, esta situado en una tercera planta con ascesor en el se destaca su gran y luminoso salón. Con 3 habitaciones, dos baños completos y su espaciosa cocina independiente con zona de tendedero y balcón.
Aire acondicionado por conducto, calefaccion individual a gas natural. Plaza de garaje y trastero incluido en el precio.
Para mas informacion o visitas contactenos sin compromiso.
No pierdas la oportunidad de vivir en una zona con todas las comodidades a tu alcance. Consulta sobre condiciones para hipoteca a través de nuestro departamento de intermediación financiera KÍRON de forma gratuita. ¡Ven a visitarlo!",Piso,690000.0,3.0,2.0,148.0,155.36831477732792,148.0,40.4353576,-3.6173534,True,False,False,False,False,False,False,False,False,En buen estado,4520.0,San Blas
Piso en calle de Cronos,Simancas,https://www.pisos.com/comprar/piso-san_blas_simancas28037-53347000611_100500/,"VOhome propiedades Salvador/Julián Camarillo/Simancas vende en exclusiva:

Bonito apartamento turístico en urbanización privada de 1 dormitorio.

El inmueble destaca por su iluminación en una tercera planta y por su inmejorable orientación (Sureste).

Conserje 24h y recinto videovigilado. IDEAL INVERSORES. Actualmente se encuentra alquilado.

Cocina americana totalmente amueblada y equipada, Baño completo con plato de ducha.

Aire acondicionado por conducto en toda la vivienda. Armario empotrado.

Recinto equipado con piscina comunitaria con amplia zona de césped, parque infantil para diversión de los mas pequeños , pista de pádel y espacio habilitado para estacionamiento de bicicletas.
Supermercados , cafeterías, y mas servicios en las inmediaciones

A 7 minutos a pie de la estación de Metro Torre Arias (Linea 5) y paradas de autobuses en la misma puerta de la urbanización (Líneas 28 y 153). Bien comunicado con M-40, M-30, A-2, Wanda Metropolitano, Aeropuerto Adolfo Suarez Barajas.

Si quiere recibir más información de este inmueble o concertar una visita, no dude en ponerse en contacto con nosotros.

Mejor ver!!",Piso,249000.0,1.0,1.0,49.0,155.36831477732792,49.0,40.4404323,-3.6187496,True,False,False,False,False,False,False,False,False,En buen estado,5081.0,San Blas
Piso en Lucero,Lucero,https://www.pisos.com/comprar/piso-lucero28047-52556222343_100500/,"Gpf-19144
La vivienda no se puede visitar. Piso ocupado. No hay posibilidad de financiar, sólo compra al contado.
Venta de piso en distrito la latina, madrid.
Es un 1º sin ascensor.
El inmueble consta de 44 m² y está distribuido (según datos del registro de la propiedad, podría variar) de un pequeño vestíbulo, comedor, cocina, 1 baño y 3 dormitorios. Además, también cuenta con balcón y patio anejo de 16 m².
Se encuentra rodeado de servicios y comodidades para sus residentes. A poco minutos a pie, se encuentra la estación de metro laguna (línea 6) y la estación de cercanías laguna (línea c5), facilitando un acceso rápido y eficiente al resto de la ciudad.
En las inmediaciones cuenta con diversas instalaciones municipales, como el centro municipal de mayores y el centro cultural josé luis sampedro. Además, en la zona también se encuentran centros de salud, farmacias y una variedad de comercios, instalaciones deportivas, etc.

Sobre nosotros:
Geppco es una inmobiliaria que ofrece tanto al propietario como al comprador todos los servicios para que pueda convertir su sueño en una realidad y para ello en todo el proceso contarás con asesoramiento y gestión de alto nivel con una amplia experiencia de más de 25 años y todo un equipo multidisciplinar en el sector: financiero, inmobiliario y jurídico.
Gpf-19144.",Piso,99500.0,3.0,1.0,44.0,155.36831477732792,44.0,40.4013969,-3.7484055,True,False,False,False,False,False,False,False,False,En buen estado,2261.0,Latina
Piso en calle del Puerto de Almansa,San Diego,https://www.pisos.com/comprar/piso-san_diego28053-52578982420_993066/,"REDPISO VENDE EN CALLE PUERTO DE ALMANSA Vivienda en planta baja de 90 m², distribuida en 4 habitaciones, baño, salón y cocina, ideal para actualizar a tu gusto. Con muchas posibilidades, esta propiedad es exterior y cuenta con agua caliente eléctrica, ventanas de aluminio y suelos de terrazo. Además, tiene la posibilidad de dividirse en 2 viviendas, ya que dispone de 2 puertas de acceso, una por la calle y otra por el patio, lo que ofrece flexibilidad en su distribución. La vivienda se encuentra en una excelente ubicación, a pocos minutos de supermercados, farmacias y colegios, con fácil acceso a las vías principales y buenas conexiones de transporte público. En Redpiso te ofrecemos asesoramiento personalizado sin compromiso y nuestras valoraciones son completamente GRATIS. También, a través de nuestro departamento DCREDIT, te ayudamos a conseguir la mejor financiación adaptada a tus necesidades. ¡No dejes pasar esta oportunidad y contacta con nosotros para concertar una visita! REDPISO – ¡Tú casa, tu futuro!",Piso,215000.0,4.0,1.0,90.0,72.0,90.0,40.3919454,-3.6699377,True,False,False,False,False,False,False,False,False,A reformar,2388.0,Puente de Vallecas
"Piso en calle de Camarena, 275",Aluche,https://www.pisos.com/comprar/piso-latina_aluche28047-5168228000_109700/,"3.0.1. Piso en una finca de obra nueva de 192 m2 de superficie construida y emplazado en la zona de Madrid Capital. Está dispuesto en 3 habitaciones, 2 baños completos y terraza. Cuenta como extras ascensor, garaje y trastero.",Piso,589920.0,3.0,2.0,192.0,155.36831477732792,192.0,40.3856819,-3.757186,True,False,False,False,False,False,False,False,False,A estrenar,3072.0,Latina
Piso en Chopera,Chopera,https://www.pisos.com/comprar/piso-chopera28045-51750870533_100200/,"Agencia inmobiliaria tecnocasa santa maría en arganzuela - vende piso en paseo de la chopera de 130m².

Piso totalmente exterior y luminoso en uno de los barrios más demandados de madrid.

La vivienda cuenta con las siguientes estancias:

- cinco dormitorios. Dos de ellos con salida a terraza - cuarto de baño con plato de ducha - cuarto de baño con bañera
- cocina muy luminosa.
- amplio salón-comedor con salida a terraza privada.

Servicios de los que dispone:
- calefacción.
- ascensor.
-terraza

Situado en el corazón de la ciudad, con todos los servicios disponibles a su alrededor para hacer una vida mas cómoda.

¡Ven a verlo!",Piso,634900.0,5.0,2.0,130.0,155.36831477732792,130.0,40.3952334,-3.7004729,True,False,False,False,False,False,False,False,False,En buen estado,4883.0,Arganzuela
Piso en Moscardó,Moscardó,https://www.pisos.com/comprar/piso-moscardo28026-50917681232_100200/,"Agencia inmobiliaria de MADRID - zona USERA - MOSCARDO - PLAZA ELÍPTICA
Vende vivienda CON ASCENSOR en la calle Juan Español compuesta de 4 Dormitorios, Salón, Dos Terrazas, Cocina y Dos Baños completos. Maravillosas vistas del centro.

¡Descubre tu nuevo hogar en el corazón de Madrid! Este espacioso piso de 126 m² te ofrece todo lo que necesitas para vivir cómodamente. Situado en una tercera planta con ascensor, cuenta con cuatro dormitorios, dos baños y un luminoso salón que se abre a una acogedora terraza. Disfruta de la tranquilidad, mientras estás a solo 5 minutos de Plaza Elíptica y a 12 minutos a pie de Madrid Río.

La vivienda está lista para entrar a vivir y dispone de armarios empotrados, calefacción de gas natural centralizada y aire acondicionado para tu confort. La ubicación es inmejorable, con fácil acceso a importantes vías de comunicación y servicios cercanos como supermercados y transporte público. A solo 10 minutos del metro Almendrales (línea 3) y cerca del Hospital 12 de Octubre, tendrás todo lo que necesitas al alcance de la mano. No pierdas la oportunidad de vivir en una zona con amplias zonas verdes y todas las comodidades. ¡Ven a visitarlo!",Piso,415000.0,4.0,2.0,126.0,155.36831477732792,126.0,40.3884949,-3.7117379,True,False,False,False,False,False,False,False,False,En buen estado,3293.0,Usera
Piso en Palos de Moguer,Palos de Moguer,https://www.pisos.com/comprar/piso-palos_de_moguer28045-53342324734_100200/,"Agencia inmobiliaria de madrid zona arganzuela- palos de la frontera - consulting santa maria de la cabeza sl vende piso en pleno centro de arganzuela en plena calle palos de la frontera, esta distribuido en salon-comedor, cocina y 1 habitacion, el piso cuenta con muchisima luz, es una finca de 6 planta, esta es la penultima, cuenta con dos ascensores y portero.
Finca con ascensor.
Para más información contacta con nosotros sin ningún tipo de compromiso y concierta una cita en la que además de conocer la vivienda te informará sobre las condiciones de financiación actuales, uno de nuestros asesores financieros de kíron",Piso,440000.0,1.0,1.0,64.0,155.36831477732792,64.0,40.4033639,-3.6963746,True,False,False,False,False,False,False,False,False,Reformado,6875.0,Arganzuela
Piso en calle de la Encomienda de Palacios,Fontarrón,https://www.pisos.com/comprar/piso-fontarron-50911949923_100500/,"Inmobiliaria VOhome Moratalaz vende vivienda en la zona Fontarrón.

Vivienda de 60m² situada en la cuarta planta CON ASCENSOR APROBADO EN JUNTA DE VECINOS, compuesta de 3 dormitorios, salón, cocina y baño .

Todas las estancias son exteriores, lo que permite el paso total de luz.

Cuenta con armarios empotrados, puertas de roble, suelos de tarima, ventanas de PVC y aire acondicionado con bomba de frio-calor en salón y calefacción individual de gas natural.

Se encuentra ubicada en un edificio con posibilidad de ascensor, habiéndose aprobado ya en junta su próxima instalación.

Situada cercano a la comisaría de Policía Distrito Moratalaz y Dirección General de la Policía. Diferentes servicios y diversa oferta educativa como el colegio Tajamar, a 10 minutos y, CEIP Menéndez Pidal.

Muy bien comunicada a 10 minutos andando de la estación de metro Pavones (línea 9), paradas de autobús 142, 144 y 8 y excelente acceso a M30, A3, M40, M45 y M50.

No dude en visitarlo, puede contactar con nosotros en el teléfono 91_032_73_67 o en nuestra oficina de Avenida de Moratalaz 92, estaremos encantados de atenderles.

Horario de oficina de Lunes a Viernes de 10:00 a 14:00 y de 17:00 a 21:00.
Sábados de 10:00 a 14:00 horas.

Contamos con departamento financiero para poder brindarle un servicio completo.

Además somos especialistas en realizar cambios de vivienda, por si en su caso necesita vender para comprar, disponemos de 20 oficinas en la comunidad de Madrid y podemos asesorarle sin compromiso de como se realiza el proceso, gastos, mudanza, etc...

*En el precio de venta no están incluidos los gastos de compra (Impuesto de transmisiones patrimoniales / notaría - gestoría / registro/ intermediación inmobiliaria y/o financiera).",Piso,259000.0,3.0,1.0,60.0,50.0,60.0,40.3994165,-3.6406246,True,False,False,False,False,False,False,False,False,En buen estado,4316.0,Moratalaz
Piso en Amposta,Amposta,https://www.pisos.com/comprar/piso-san_blas_amposta-52577032197_100200/,"Tecnocasa Estudio Inmobiliario Amposta vende piso de 92m.

Se trata de una octava planta con doble ascensor muy luminosa para entrar a vivir compuesta por: salón, cocina, tres dormitorios, baño con ventana y trastero.
Excelente ubicación muy próximo al metro de Simancas y distintas lineas de autobús.",Piso,305000.0,3.0,1.0,92.0,155.36831477732792,92.0,40.4252596,-3.6251909,True,False,False,False,False,False,False,False,False,En buen estado,3315.0,San Blas
Ático en calle de Quijada de Pandiellos,San Diego,https://www.pisos.com/comprar/atico-san_diego28053-45091682652_100500/,"Inmobiliaria VOhome propiedades La Gavia vende ático en zona Puente de Vallecas.

Atico-duplex compuesto de 1 dormitorio, amplio salón de 20 m², cocina independiente y 2 baños completos. Además cuenta con una terraza de 16 m². Se distribuye de la siguiente manera: planta baja salón, terraza, cocina y 1 baño y planta superior dormitorio y baño.

Lleva incluido en el precio una plaza de garaje y trastero.

Finca con puerta de acceso blindada, la vivienda se encuentra en muy buen estado y dispone de calefacción individual por gas natural, aire acondicionado por split en el dormitorio, armario empotrado, suelos de tarima, ventanas de aluminio y puertas de roble.

Zona muy tranquila aunque cercano a todo tipo de servicios; Centro de Salud Martínez de la Riva a tan sólo 650 metros, supermercado y mercado municipal a menos de 10 minutos andando, colegios, institutos, cafeterías, comercios del día a día y Comisaria en sus cercanías.

Ubicado a un paso del distrito de arganzuela donde tienes la estación de cercanías Renfe e intercambiador de Méndez Álvaro junto a la estación sur de autobuses a 12 minutos andando y el parque de Enrique Tierno Galván. Además de Madrid Río a tan sólo 10 minutos en coche, donde poder disfrutar de diversas actividades.

Muy bien comunicado, estación de metro puente de vallecas (L1) a 12 minutos andando, paradas de autobús líneas 24, 10, 111, 310, 102 y N11 en sus cercanías y acceso directo a M 30 en sus dos direcciones a 2 minutos en coche.

Llame para concertar su cita y visite sin ningún compromiso.

Disponemos de servicio de asesoramiento financiero gratuito que le buscan las mejores condiciones.

*En el precio de venta no están incluidos los gastos de compra (Impuesto de transmisiones patrimoniales / notaría - gestoría / registro/ intermediación inmobiliaria y/o financiera)

Horario de oficina de Lunes a Viernes de 10:00 a 14:00 y de 16:30 a 20:30.
Sábados de 10:00 a 14:00 horas.

Avda. de las Suertes, 62 (local)
28051 Madrid.
Telf.: 91_013_32_00",Ático,219000.0,1.0,2.0,77.0,61.0,77.0,40.3912367,-3.6709894,False,False,False,False,False,False,False,False,False,En buen estado,2727.0,Puente de Vallecas
Piso en calle del Monte Montjuich,Casco Histórico de Vallecas,https://www.pisos.com/comprar/piso-casco_historico_de_vallecas28031-51737746520_998861/,"Posibilidad de financiación al 100%!
Infórmate!
Piso exterior de tres dormitorios. Salón con salida a terraza. Cocina con muebles altos y bajos con lavadora, lavavajillas y nevera, con salida a terraza lavadero y caldera. Habitaciones con armarios empotrados. Baño completo. Suelos de gres. Ventanas de aluminio blanco con rejas. Puertas de sapelly. Entrada al portal adaptado con ascensor. Barrio con todos los servicios. Cerca de la parada de metro villa de vallecas.",Piso,238000.0,3.0,1.0,95.0,75.0,95.0,40.3799821,-3.6187609,True,False,False,False,False,False,False,False,False,En buen estado,2505.0,Villa de Vallecas
Piso en calle Hermosilla,Goya,https://www.pisos.com/comprar/piso-goya28001-53368652197_518589/,"OPORTUNIDAD ÚNICA EN EL BARRIO DE SALAMANCA

En una de las calles más emblemáticas del Barrio de Salamanca, se encuentra esta magnífica vivienda con un enorme potencial. Situada en una quinta planta sin ascensor, con la posibilidad de estudiar la instalación en caso de necesidad de accesibilidad (personas con movilidad reducida, mayores, etc. ). , es un piso interior que sorprende por su gran luminosidad y tranquilidad, características difíciles de encontrar en una ubicación tan privilegiada

El inmueble se encuentra actualmente diáfano, ofreciendo la posibilidad de diseñar un hogar a medida. Además, ya cuenta con un proyecto aprobado que plantea una distribución moderna y funcional con dos dormitorios, dos baños, salón-comedor con cocina americana y un elegante hall de entrada.

Es importante destacar que la vivienda se vende en su estado actual, tal y como se muestra en las fotografías, sin reforma realizada, permitiendo a los nuevos propietarios personalizarla completamente a su gusto.

EXCLUSIVIDAD, SERVICIOS Y EXCELENTES COMUNICACIONES
El edificio mantiene el encanto clásico de la zona y dispone de servicio de portería de lunes a viernes, garantizando comodidad y seguridad.

La ubicación es inmejorable, rodeada de las mejores boutiques, restaurantes y zonas verdes de Madrid. Además, ofrece una conectividad excepcional:
A pocos pasos de la icónica Calle de Velázquez, la Milla de Oro y el Parque del Retiro, esta zona ofrece un estilo de vida privilegiado.

Metro: A pocos minutos de las estaciones de Velázquez (L4), Goya (L2 y L4) y Príncipe de Vergara (L2 y L9).
Varias líneas de autobús en las inmediaciones.
Rápido acceso a la M-30 y principales vías de la ciudad.

DETALLES ADICIONALES
Gastos de comunidad: 80 €/mes.
IBI: Aproximadamente 450 €/año.

Si buscas una propiedad con infinitas posibilidades en una de las zonas más exclusivas de Madrid, esta es tu oportunidad.

Para más información o visita, no dudes en contactarnos.
WhatsApp 637_349_619.",Piso,498000.0,2.0,2.0,56.0,50.0,56.0,40.4260181,-3.6796652,True,False,False,False,False,False,False,False,False,En buen estado,8892.0,Salamanca
Piso en Barrio Salamanca,Goya,https://www.pisos.com/comprar/piso-goya28009-51700923995_100500/,"Vivienda en el corazón del barrio de Salamanca. Este encantador bajo exterior ha sido completamente reformado y cuenta con un acogedor patio de uso y disfrute. Con 4 habitaciones y un baño, hay espacio suficiente para toda la familia o para crear tu propio refugio.
Ubicado en una excelente zona, estarás a pocos pasos de las paradas de metro y autobús, lo que facilita tus desplazamientos por la ciudad. Este inmueble es una oportunidad perfecta para inversores que buscan una propiedad en una de las áreas más cotizadas. ¡No dejes pasar esta oportunidad!",Piso,589000.0,4.0,1.0,80.0,155.36831477732792,80.0,40.4271472,-3.6699947,True,False,False,False,False,False,False,False,False,Reformado,7362.0,Salamanca
"Piso en calle del Parque de Eugenia de Montijo, 32",Vista Alegre,https://www.pisos.com/comprar/piso-carabanchel_vista_alegre28047-53343023965_100500/,"Vive en el Parque Eugenia de Montijo - Carabanchel

¿Buscas un hogar que combine ubicación, confort y funcionalidad? Este magnífico piso de 73 m² es una oportunidad única para quienes desean vivir o invertir en una de las zonas más consolidadas y dinámicas de Madrid.

Ubicado en una primera planta con ascensor, el inmueble se presenta en excelente estado y cuenta con una distribución práctica y luminosa:
Tres dormitorios que ofrecen amplitud y versatilidad para adaptarse a tus necesidades.

Un baño completo con un diseño moderno y funcional.

Salón principal y dormitorio principal con aire acondicionado frío/calor, ideal para disfrutar del
máximo confort durante todo el año.

Suelos de tarima y ventanas climalit de doble acristalamiento que garantizan aislamiento
térmico y acústico.

La cocina está totalmente amueblada y equipada, lista para entrar a vivir, e incluye un práctico tendedero con caldera individual de gas natural. Además, dispone de armario empotrado en el pasillo que optimiza el espacio de almacenaje y domótica integrada en luces, persianas y climatización: comodidad, tecnología y eficiencia energética al alcance de tu mano.

Ubicación inmejorable

El Parque Eugenia de Montijo es una zona que se caracteriza por estar rodeada de parques ajardinados sin ruido de coches.
Situado en una zona con todos los servicios al alcance: supermercados, comercios, colegios, centros médicos y una excelente conexión con el transporte público que facilita el acceso a cualquier punto de la ciudad. Carabanchel es un barrio en constante evolución, ideal tanto para familias como para inversores que buscan rentabilidad y calidad de vida.",Piso,299000.0,3.0,1.0,73.0,69.0,73.0,40.379,-3.75254,True,False,False,False,False,False,False,False,False,En buen estado,4095.0,Carabanchel
Piso en Simancas,Simancas,https://www.pisos.com/comprar/piso-san_blas_simancas28037-28352212856_100200/,"Agencia inmobiliaria de madrid zona san blas - canillejas, simancas tecnocasa desarrollo simancas slu
Piso en venta para entrar a vivir en el barrio de simancas
El piso cuenta con 50 metros distribuidos en dos habitaciones, salón amplio y luminoso, baño con plato de ducha y cocina independiente.
Es una segunda planta sin ascensor.
Tiene ventanas de pvc climalit, suelo de tarima y aire acondicionado con bomba de frío y calor.
El piso está situado cerca de la avenida de garcía noblejas.
Tiene una excelente comunicación mediante el transporte público con las paradas de metro de simancas y garcía noblejas a menos de cinco minutos. También cuenta con los accesos a la m-30 y m-40 a menos de cinco minutos.
Para más información no dude en contactar con nosotros a través del 919 202 215 o al
744 653 531 'juan antonio'.",Piso,165000.0,2.0,1.0,50.0,155.36831477732792,50.0,40.428893422,-3.629726485,True,False,False,False,False,False,False,False,False,En buen estado,3300.0,San Blas
Piso en Avenida del Ensanche de Vallecas,Ensanche de Vallecas-Valdecarros,https://www.pisos.com/comprar/piso-ensanche_de_vallecas_valdecarros28051-53350998011_100500/,"Inmobiliaria VOhome La Gavia vende piso en el Ensanche de Vallecas.

La vivienda se encuentra en muy buen estado, está compuesta de 1 dormitorio separado por puerta corredera, salón muy luminoso con mirador, cocina americana y 1 baño.

Lleva incluida en el precio plaza de garaje y trastero.

Dispone de instalación completa de A/A acondicionado por conductos con bomba de frío-calor, suelos de tarima, ventanas climalit y 2 armarios empotrados uno en la entrada y otro en el dormitorio.

Ubicado en una finca con todo tipo de comodidades, piscina comunitaria, gimnasio, cuarto para bicicletas, zona infantil y servicio de portería 24 horas.

Situado en zona muy comercial cercano a cafeterías, supermercados, oficina de correos, farmacias, colegios, parques y el Centro Comercial La gavia.

A 3 minutos andando de la estación de metro Valdecarros (línea 1), paradas de autobús líneas 142, 145 y N9 y fácil acceso a principales carreteras de Madrid M-45 y A-3.

Llame para concertar su cita y visite sin ningún compromiso.

Disponemos de servicio de asesoramiento financiero gratuito.

*En el precio de venta no están incluidos los gastos de compra (Impuesto de transmisiones patrimoniales / notaría - gestoría / registro/ intermediación inmobiliaria y/o financiera)

Horario de oficina de Lunes a Viernes de 10:00 a 14:00 y de 16:30 a 20:30.
Sábados de 10:00 a 14:00 horas.

Avda. de las Suertes, 62 (local)
28051 Madrid.
Telf.: 91_013_32_00",Piso,210000.0,1.0,1.0,50.0,30.0,50.0,40.3609166,-3.5948525,True,False,False,False,False,False,False,False,False,En buen estado,4200.0,Villa de Vallecas
Piso en calle de Agustín Rodríguez Bonat,Opañel,https://www.pisos.com/comprar/piso-opanel28019-53380130804_528352/,"Hminmobiliaria tiene tú casa. Carabanchel, 100% financiación! Sin entrada! Sin comisiones! Sin avales!

¡Tú propiedad por menos de un alquiler! Compra tú piso y olvidate del alquiler!

Buena opción como primera vivienda o como inversion!

Solo con tus ingresos y los gastos de escrituras! Nada mas!

8373 -piso de dos dormitorios en carabanchel para reformar a tu gusto y necesidades, con salón-comedor con cocina y salida a un patio.

La ubicación es magnífica con todos los servicios de comercios, colegios, institutos, farmacia, a muy poca distancia.

Muy bien comunicado con transporte público.

¡ No te cobramos comisión, ni por la venta de la vivienda ni por la tramitación del préstamo!

Solo tienes que disponer de los gastos de escritura y el resto te lo financia el banco hasta el 100% del valor de la compra.

Cada cliente es único, cada compra es única, cada vivienda es única.

¡En proceso de puja!

100%! Financiación!

Sin entrada!

Sin comisiones, ni por la venta, ni por la tramitacion de la venta ni del préstamo!

Solo con tus ingresos y los gastos de escrituras! Nada mas!

Hminmobiliaria convirtiendo desde 1.989 los sueños en hogares!",Piso,102000.0,2.0,1.0,38.0,28.0,38.0,40.3940607,-3.7196998,True,False,False,False,False,False,False,False,False,A reformar,2684.0,Carabanchel
Piso en Travesía de Felipe de Diego,Palomeras Sureste,https://www.pisos.com/comprar/piso-palomeras_bajas28018-52533304795_998861/,"POSIBILIDAD DE FINANCIACIÓN AL 100%!
INFÓRMATE!
Piso completamente exterior de dos dormitorios muy luminoso en Puente de Vallecas. Hall con armario empotrado. Salón muy luminoso con espectaculares vistas de Madrid. Dormitorio principal con un pequeño vestidor y armario empotrado vestido y forrado. Dormitorio secundario a patio de luces con armario empotrado vestido y forrado. Cocina para montar con terraza/lavadero a patio de luces. Ventilación cruzada. Baño reformado a falta de la mampara. Ventanas de aluminio. Suelos de tarima. Puertas de roble. Video portero. Barrio con todos los servicios. Cerca de la parada de cercanías El Pozo y Asamblea de Madrid-Entrevías.",Piso,239000.0,2.0,1.0,80.0,72.0,80.0,40.3791701,-3.6595541,True,False,False,False,False,False,False,False,False,En buen estado,2987.0,Puente de Vallecas
Piso en calle de Mérida,Marroquina,https://www.pisos.com/comprar/piso-marroquina28030-53424913470_100500/,"Inmobiliaria VOhome Moratalaz, situados en Avenida Moratalaz nº92, vende piso con piscina.

La vivienda se encuentra para entrar a vivir, se encuentra en la planta baja del edificio. Está compuesta de 2 dormitorios, cocina con tendedero cubierto y tendedero al aire libre en azotea, amplio salón, 1 baño completo y cuarto trastero para bicicletas.

La vivienda dispone calefacción individual por gas natural, armarios empotrados, paredes lisas, suelos de tarima, puertas de roble y ventanas climalit.

Situado en urbanización privada con piscina comunitaria, zona verde, parque infantil, portero físico y pista multideportiva.

Se encuentra en un barrio tranquilo y bien comunicado de Madrid, ideal para quienes buscan un equilibrio entre la vida urbana y la tranquilidad residencial. La zona cuenta con una variedad de servicios que facilitan la vida diaria, incluyendo supermercados, tiendas de alimentación, farmacias y cafeterías, colegios, guarderías e institutos, biblioteca pública, gimnasio, parques y jardines lo que la convierte en un lugar muy práctico para vivir.

En cuanto a los accesos viales, la ubicación es excelente, con fácil acceso a las principales vías de la ciudad.
Excelentes comunicaciones acceso directo a la M-40 y la M-30, la A3 y la M-23 (eje O´Donnell).

El transporte público es otro de los puntos fuertes de esta ubicación, a 2 minutos de varias paradas de autobús que conectan con diferentes Líneas de autobús 100, 140, E4, 30, N8.

Además, si te desplazas en metro, se encuentra a 10 minutos andando de la para de metro Artilleros y Pavones.

No dude en visitarlo, puede contactar con nosotros en el teléfono o en nuestra oficina de Avenida de Moratalaz 92, estaremos encantados de atenderles.
Horario de oficina de Lunes a Viernes de 10:00 a 14:00 y de 16:30 a 20:30.
Sábados de 10:00 a 14:00 horas.

Contamos con departamento financiero para poder brindarle un servicio completo.

Además somos especialistas en realizar cambios de vivienda, por si en su caso necesita vender para comprar, disponemos de 20 oficinas en la comunidad de Madrid y podemos asesorarle sin compromiso de como se realiza el proceso, gastos, mudanza, etc.. .

*En el precio de venta no están incluidos los gastos de compra (Impuesto de transmisiones patrimoniales / notaría - gestoría / registro/ intermediación inmobiliaria y/o financiera).",Piso,380000.0,2.0,1.0,88.0,65.0,88.0,40.4065879,-3.6333459,True,False,False,False,False,False,False,False,False,En buen estado,4318.0,Moratalaz
Piso en calle de Valle Inclán,Las Águilas,https://www.pisos.com/comprar/piso-las_aguilas28044-49199270554_518874/,"MASTERPISO vende piso duplex en calle Valle Inclan, Las Águilas (Madrid), 1ª planta y bajo con ascensor, 110 m2 construidos, 4 habitaciones, 2 baños, salón, cocina con tendedero. Plaza de Garaje incluida en el precio.

Vivienda en buen estado, suelo tarima, carpintera exterior aluminio climalit, puerta blindada, puertas madera color roble, calefacción y agua caliente gas natural con caldera y contador individual. Armarios empotrados en las habitaciones y en el pasillo.

Esta vivienda está muy bien situada, zona las águilas-san ignacio-cuatro vientos, zona tranquila y ajardinada, muy bien comunicada, comercios, colegios, galería comercial el zoco de San Ignacio de Loyola (bares, bancos, restaurantes, etc. ), supermercados, Mercadona, Lidl, Aldi, DIA y Ahorramas, zonas verdes, polideportivo Aluche. Bien comunicado, Renfe Las Águilas (C5) autobuses, 138, 139, 39, N19, acceso a distintas carreteras (M-30, M-40, M-45, A-42 A-5 Y R-5) y a pocos minutos del Aeropuerto de Cuatro Vientos.

Para más información puede contactar con nosotros.

Ven a visitarlo.

Si quiere cambiar de vivienda, si quiere vender su inmueble, vender para compra o quiere saber el precio de mercado, hacemos valoraciones totalmente gratuitas y sin compromiso.

VALORACIÓN GRATUITA ONLINE EN 2 MINUTOS EN NUESTRA PAGINA WEB www.agenciamasterpiso.es/valoramos-tu-casa/

Asesoramiento financiero gratuito a nuestros Clientes.

El presente anuncio es a título informativo, no siendo vinculante, ya que puede contener errores, no siendo por tanto contractual en ningún caso.",Piso,325000.0,4.0,2.0,110.0,106.0,110.0,40.377671,-3.7731945,True,False,False,False,False,False,False,False,False,En buen estado,2954.0,Latina
